"DATASET: Greenhouse Gas Emissions (source: EEA) [env_air_gge]"

"LAST UPDATE: 28.01.16 14:23:11"

"EXTRACTION DATE: 01.06.16 12:29:19"

"SOURCE OF DATA: European environment agency (EEA)"

"TIME"
"2004"
"2005"
"2006"
"2007"
"2008"
"2009"
"2010"
"2011"
"2012"
"2013"

"GEO"
"European Union (28 countries)"
"European Union (15 countries)"
"Belgium"
"Bulgaria"
"Czech Republic"
"Denmark"
"Germany (until 1990 former territory of the FRG)"
"Estonia"
"Ireland"
"Greece"
"Spain"
"France"
"Croatia"
"Italy"
"Cyprus"
"Latvia"
"Lithuania"
"Luxembourg"
"Hungary"
"Malta"
"Netherlands"
"Austria"
"Poland"
"Portugal"
"Romania"
"Slovenia"
"Slovakia"
"Finland"
"Sweden"
"United Kingdom"
"Iceland"

"UNIT"
"Thousand tonnes"

"AIRPOL"
"Greenhouse Gas Emissions (CO2 equivalent)"

"AIREMSECT"
"All sectors excluding all memo items"
"All sectors excluding LULUCF and memo items CRF_1D1B, CRF_1D2, and CRF_1D3 (including international aviation)"
"All sectors excluding all memo items and LULUCF"

"No footnotes available"

"Available flags:"
"b","break in time series"
"c","confidential"
"d","definition differs, see metadata"
"e","estimated"
"f","forecast"
"i","see metadata (phased out)"
"n","not significant"
"p","provisional"
"r","revised"
"s","Eurostat estimate (phased out)"
"u","low reliability"
"z","not applicable"

"Special value:"
":","not available"

