TIME,GEO,ENERGY,EMISSIONS,WASTE
2005,Euro area (19 countries),3.9404281534102332,,
2005,Belgium,5.655431457386147,13.589806748171426,0.4836369498629695
2005,Bulgaria,2.569280411332506,7.1922878276632085,
2005,Czech Republic,4.4240750554841695,13.529702108717107,0.2896403566870987
2005,Denmark,3.6138858577393487,13.22871786532333,0.6626744810266465
2005,Germany,4.144325835968064,11.884648847674283,0.5642972231716064
2005,Estonia,4.132317768701475,9.933966221437245,0.43212275085550284
2005,Ireland,3.7125772678365396,18.183568630960835,0.7395288340120515
2005,Greece,2.86329553053844,12.185983807345037,0.44239188062766593
2005,Spain,3.3310576982284275,9.433263385924231,0.5931910453951094
2005,France,4.4063335004437425,8.056717336645592,0.5315353591448025
2005,Croatia,2.269059475589679,5.505313207732748,
2005,Italy,3.284350950059346,9.461617572691845,0.5471816009305474
2005,Cyprus,3.4629849659035257,12.2070424667868,
2005,Latvia,2.04100591894828,3.0855251577526843,0.31826126227039403
2005,Lithuania,2.5962231984787882,5.368419954578239,0.3835814044980657
2005,Luxembourg,10.407605749842812,27.713158294126575,0.6780998634087115
2005,Hungary,2.7344754652837038,6.968115727886045,0.46011165679909055
2005,Malta,2.4136509481756683,7.331896251999166,
2005,Netherlands,5.1920557484622085,13.454193995336306,0.5991220399758953
2005,Austria,4.170174723481804,9.919541383324399,0.5769409679542135
2005,Poland,2.4158694037421182,9.271122746771447,0.31877855604499783
2005,Portugal,2.6179951121864504,8.408629636066758,0.45215133927006007
2005,Romania,1.8335820274980015,5.721333581887196,
2005,Slovenia,3.667118878248289,6.661767429752852,0.49496142852136826
2005,Slovakia,3.541748678733259,8.70660014499268,
2005,Finland,6.595257887209876,7.5780958333548165,0.4785155895673748
2005,Sweden,5.658759490209726,3.16746513746156,0.4778118630284866
2005,United Kingdom,3.888217500068542,11.54848181476038,0.5835793230705834
2005,Iceland,11.477738378687704,53.40472857206116,0.5211579926220379
2005,Norway,5.898319346521323,0.4272351093476567,
2005,Montenegro,1.7705650288546184,,
2005,Albania,0.7067998947360027,,
2005,Serbia,2.105900577383467,,
2005,Turkey,1.2581138355659807,0.460987621257693,
