2008;European Union (15 countries);Thousand tonnes;3817554.22
2008;Belgium;Thousand tonnes;135078.57
2008;Bulgaria;Thousand tonnes;58660.8
2008;Czech Republic;Thousand tonnes;137456.38
2008;Denmark;Thousand tonnes;64806.17
2008;Germany;Thousand tonnes;955688.98
2008;Estonia;Thousand tonnes;12024.91
2008;Ireland;Thousand tonnes;73309.93
2008;Greece;Thousand tonnes;128944.57
2008;Spain;Thousand tonnes;373290.01
2008;France;Thousand tonnes;477126.98
2008;Croatia;Thousand tonnes;24722.21
2008;Italy;Thousand tonnes;520238.89
2008;Cyprus;Thousand tonnes;9743.35
2008;Latvia;Thousand tonnes;6759.39
2008;Lithuania;Thousand tonnes;15147.84
2008;Luxembourg;Thousand tonnes;11817.19
2008;Hungary;Thousand tonnes;66183.37
2008;Malta;Thousand tonnes;3048.98
2008;Netherlands;Thousand tonnes;213551.78
2008;Austria;Thousand tonnes;82009.28
2008;Poland;Thousand tonnes;374709.21
2008;Portugal;Thousand tonnes;63925.06
2008;Romania;Thousand tonnes;117908.64
2008;Slovenia;Thousand tonnes;16421.49
2008;Slovakia;Thousand tonnes;43849.52
2008;Finland;Thousand tonnes;44214.24
2008;Sweden;Thousand tonnes;18120.99
2008;United Kingdom;Thousand tonnes;655431.58
2008;Iceland;Thousand tonnes;17252.19
2009;European Union (28 countries);Thousand tonnes;4347090.73
2009;European Union (15 countries);Thousand tonnes;3532671.61
2009;Belgium;Thousand tonnes;122093.22
2009;Bulgaria;Thousand tonnes;49566.5
2009;Czech Republic;Thousand tonnes;127650.88
2009;Denmark;Thousand tonnes;72865.73
2009;Germany;Thousand tonnes;888910.19
2009;Estonia;Thousand tonnes;10014.93
2009;Ireland;Thousand tonnes;65149.43
2009;Greece;Thousand tonnes;122357.85
2009;Spain;Thousand tonnes;335579.49
2009;France;Thousand tonnes;462255.43
2009;Croatia;Thousand tonnes;22559.06
2009;Italy;Thousand tonnes;467772.75
2009;Cyprus;Thousand tonnes;9554.34
2009;Latvia;Thousand tonnes;9625.27
2009;Lithuania;Thousand tonnes;8993.84
2009;Luxembourg;Thousand tonnes;11251.89
2009;Hungary;Thousand tonnes;61219.77
2009;Malta;Thousand tonnes;2996.17
2009;Netherlands;Thousand tonnes;208542.04
2009;Austria;Thousand tonnes;75343.83
2009;Poland;Thousand tonnes;358105.34
2009;Portugal;Thousand tonnes;61055.44
2009;Romania;Thousand tonnes;100124.54
2009;Slovenia;Thousand tonnes;14509.77
