TIME,GEO,Agriculture,Mining,Manufacturing,Energyprod,Water,Construction,Other
2006,Sweden,314.317,62084.293,12658.218,1317.821,2200.081,8943.363,6177.668
2008,Sweden,314.314,58701.928,11835.654,1507.404,2174.43,3190.326,6146.547
2010,Sweden,308.946,89026.207,7807.96,1477.887,1884.401,9381.226,6480.977
2012,Sweden,273.071,129480.919,6151.726,1848.83,2471.569,7655.935,6768.455
2006,United Kingdom,666.485,31782.794,27581.549,6872.788,26303.284,109545.987,83612.826
2008,United Kingdom,681.31,34057.625,22354.065,4863.912,29392.29,99064.315,84187.332
2010,United Kingdom,495.368,24774.792,12291.674,3345.113,16957.889,102118.676,72403.174
2012,United Kingdom,672.029,24043.964,13574.401,4964.784,21181.77,100221.748,70497.797
2000,Chile,1128,510,1484.588,281.176,17.294,2565.66,4520.3
2001,Chile,1150.485,525.458,1506,187.137,32.971,2627.717,4514.7
2002,Chile,1308.168,507.93,1516,205.842,35.793,2274.337,4647.1
2003,Chile,1418.4,543.383,1595.245,202.297,56.464,2649.353,4802.3
2004,Chile,1515.326,599.838,1746.176,280.406,61.924,2932.809,4964.1
2005,Chile,1393.32,589.49,1797.17,263.821,64.079,2945.474,5113.7
2006,Chile,1367.133,594.144,1823.072,360.974,72.325,3389.464,5310.9
2007,Chile,1469.657,617.103,2042.017,448.228,73.41,3513.492,5492.9
2008,Chile,1434.942,590.285,1789.795,466.135,74.412,3443.807,5608
2009,Chile,1562.458,630.81,1816.234,477.023,82.028,3062.395,5779.5
2012,Colombia,1.9,140,54.6,1.1
2006,Estonia,118.829,5960.972,3979.458,5706.681,268.639,716.96,2166.779
2008,Estonia,239.843,7197.787,3765.962,5423.858,374.272,1098.924,1444.591
2010,Estonia,109.867,6452.793,3715.5,6534.457,251.677,436.281,1464.128
2012,Estonia,77.295,9354.964,4120.509,6257.826,537.467,654.786,845.495
2006,Latvia,96.126,565.017,25.838,52.85,19.339,1094.151
2008,Latvia,74.66,2.585,497.145,20.151,92.94,12.04,791.005
2010,Latvia,68.024,0.786,372.469,24.654,119.565,21.551,887.083
2012,Latvia,2.767,1.745,393.873,132.507,284.291,7.509,1475.997
2006,Lithuania,874.219,5.514,2739.893,34.022,360.743,348.968,1991.896
2008,Lithuania,786.069,3.367,2757.736,50.645,272.688,412.045,2046.115
2010,Lithuania,455.856,6.838,2646.824,36.314,235.486,356.772,1804.527
2012,Lithuania,481.696,25.911,2548.73,29.005,160.696,419.067,1794.408
2006,Slovenia,214.335,376.93,2357.116,496.642,38.265,994.886,1509.008
2008,Slovenia,132.159,54.519,1701.939,353.639,110.172,1376.225,1260.609
2010,Slovenia,141.285,11.797,1511.895,1388.08,89.827,1509.466,1317.231
2012,Slovenia,164.761,14.448,1341.354,1069.074,162.758,535.093,1178.208
