"COU","Country","VAR","Variable","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"HUN","Hungary","LANDF_SHARE","% Landfill","2003","2003","PC","Percentage","0","units",,,90.669,,
"HUN","Hungary","LANDF_SHARE","% Landfill","2004","2004","PC","Percentage","0","units",,,84.732,"B","Break"
"HUN","Hungary","LANDF_SHARE","% Landfill","2005","2005","PC","Percentage","0","units",,,83.782,,
"HUN","Hungary","LANDF_SHARE","% Landfill","2006","2006","PC","Percentage","0","units",,,81.182,,
"HUN","Hungary","LANDF_SHARE","% Landfill","2007","2007","PC","Percentage","0","units",,,78.557,,
"HUN","Hungary","LANDF_SHARE","% Landfill","2008","2008","PC","Percentage","0","units",,,75.486,,
"HUN","Hungary","LANDF_SHARE","% Landfill","2009","2009","PC","Percentage","0","units",,,74.977,,
"HUN","Hungary","LANDF_SHARE","% Landfill","2010","2010","PC","Percentage","0","units",,,70.369,,
"HUN","Hungary","LANDF_SHARE","% Landfill","2011","2011","PC","Percentage","0","units",,,67.288,,
"HUN","Hungary","LANDF_SHARE","% Landfill","2012","2012","PC","Percentage","0","units",,,65.421,,
"HUN","Hungary","LANDF_SHARE","% Landfill","2013","2013","PC","Percentage","0","units",,,64.607,,
"HUN","Hungary","LANDF_SHARE","% Landfill","2014","2014","PC","Percentage","0","units",,,58.74,,
"ISL","Iceland","MUNICIPAL","Municipal waste generated","1995","1995","TONNE","Tonnes","3","thousands",,,114,,
"ISL","Iceland","MUNICIPAL","Municipal waste generated","1996","1996","TONNE","Tonnes","3","thousands",,,117,,
"ISL","Iceland","MUNICIPAL","Municipal waste generated","1997","1997","TONNE","Tonnes","3","thousands",,,120,,
"ISL","Iceland","MUNICIPAL","Municipal waste generated","1998","1998","TONNE","Tonnes","3","thousands",,,123,,
"ISL","Iceland","MUNICIPAL","Municipal waste generated","1999","1999","TONNE","Tonnes","3","thousands",,,126,,
"ISL","Iceland","MUNICIPAL","Municipal waste generated","2000","2000","TONNE","Tonnes","3","thousands",,,130,,
"ISL","Iceland","MUNICIPAL","Municipal waste generated","2001","2001","TONNE","Tonnes","3","thousands",,,133,,
"ISL","Iceland","MUNICIPAL","Municipal waste generated","2002","2002","TONNE","Tonnes","3","thousands",,,137,,
"ISL","Iceland","MUNICIPAL","Municipal waste generated","2003","2003","TONNE","Tonnes","3","thousands",,,140,,
"ISL","Iceland","MUNICIPAL","Municipal waste generated","2004","2004","TONNE","Tonnes","3","thousands",,,147,,
"ISL","Iceland","MUNICIPAL","Municipal waste generated","2005","2005","TONNE","Tonnes","3","thousands",,,153,,
"ISL","Iceland","MUNICIPAL","Municipal waste generated","2006","2006","TONNE","Tonnes","3","thousands",,,171,,
"ISL","Iceland","MUNICIPAL","Municipal waste generated","2007","2007","TONNE","Tonnes","3","thousands",,,174,,
"ISL","Iceland","MUNICIPAL","Municipal waste generated","2008","2008","TONNE","Tonnes","3","thousands",,,157.17,,
"ISL","Iceland","MUNICIPAL","Municipal waste generated","2009","2009","TONNE","Tonnes","3","thousands",,,113.09,,
"ISL","Iceland","MUNICIPAL","Municipal waste generated","2010","2010","TONNE","Tonnes","3","thousands",,,97.28,,
"ISL","Iceland","MUNICIPAL","Municipal waste generated","2011","2011","TONNE","Tonnes","3","thousands",,,101.99,,
"ISL","Iceland","MUNICIPAL","Municipal waste generated","2012","2012","TONNE","Tonnes","3","thousands",,,108.32,,
"ISL","Iceland","MUNICIPAL","Municipal waste generated","2013","2013","TONNE","Tonnes","3","thousands",,,111.68,,
"ISL","Iceland","TREATMENT","Municipal waste treated","1995","1995","TONNE","Tonnes","3","thousands",,,119.5,,
"ISL","Iceland","TREATMENT","Municipal waste treated","1996","1996","TONNE","Tonnes","3","thousands",,,118.75,,
"ISL","Iceland","TREATMENT","Municipal waste treated","1997","1997","TONNE","Tonnes","3","thousands",,,118,,
"ISL","Iceland","TREATMENT","Municipal waste treated","1998","1998","TONNE","Tonnes","3","thousands",,,122.25,,
"ISL","Iceland","TREATMENT","Municipal waste treated","1999","1999","TONNE","Tonnes","3","thousands",,,126.5,,
"ISL","Iceland","TREATMENT","Municipal waste treated","2000","2000","TONNE","Tonnes","3","thousands",,,134.5,,
"ISL","Iceland","TREATMENT","Municipal waste treated","2001","2001","TONNE","Tonnes","3","thousands",,,131.75,,
"ISL","Iceland","TREATMENT","Municipal waste treated","2002","2002","TONNE","Tonnes","3","thousands",,,134.75,,
"ISL","Iceland","TREATMENT","Municipal waste treated","2003","2003","TONNE","Tonnes","3","thousands",,,139,,
"ISL","Iceland","TREATMENT","Municipal waste treated","2008","2008","TONNE","Tonnes","3","thousands",,,149.24,,
"ISL","Iceland","TREATMENT","Municipal waste treated","2009","2009","TONNE","Tonnes","3","thousands",,,113.1,,
"ISL","Iceland","TREATMENT","Municipal waste treated","2010","2010","TONNE","Tonnes","3","thousands",,,97.29,,
"ISL","Iceland","TREATMENT","Municipal waste treated","2011","2011","TONNE","Tonnes","3","thousands",,,101.99,,
"ISL","Iceland","TREATMENT","Municipal waste treated","2012","2012","TONNE","Tonnes","3","thousands",,,108.32,,
"ISL","Iceland","TREATMENT","Municipal waste treated","2013","2013","TONNE","Tonnes","3","thousands",,,111.69,,
"ISL","Iceland","RECOVERY","Amount designated for recovery operations","1995","1995","TONNE","Tonnes","3","thousands",,,11,,
"ISL","Iceland","RECOVERY","Amount designated for recovery operations","1996","1996","TONNE","Tonnes","3","thousands",,,13,,
"ISL","Iceland","RECOVERY","Amount designated for recovery operations","1997","1997","TONNE","Tonnes","3","thousands",,,12,,
"ISL","Iceland","RECOVERY","Amount designated for recovery operations","1998","1998","TONNE","Tonnes","3","thousands",,,17,,
"ISL","Iceland","RECOVERY","Amount designated for recovery operations","1999","1999","TONNE","Tonnes","3","thousands",,,20,,
"ISL","Iceland","RECOVERY","Amount designated for recovery operations","2000","2000","TONNE","Tonnes","3","thousands",,,26,,
"ISL","Iceland","RECOVERY","Amount designated for recovery operations","2001","2001","TONNE","Tonnes","3","thousands",,,27,,
"ISL","Iceland","RECOVERY","Amount designated for recovery operations","2002","2002","TONNE","Tonnes","3","thousands",,,29,,
"ISL","Iceland","RECOVERY","Amount designated for recovery operations","2003","2003","TONNE","Tonnes","3","thousands",,,34,,
"ISL","Iceland","RECOVERY","Amount designated for recovery operations","2008","2008","TONNE","Tonnes","3","thousands",,,43.13,,
"ISL","Iceland","RECOVERY","Amount designated for recovery operations","2009","2009","TONNE","Tonnes","3","thousands",,,36.36,,
"ISL","Iceland","RECOVERY","Amount designated for recovery operations","2010","2010","TONNE","Tonnes","3","thousands",,,41.54,,
"ISL","Iceland","RECOVERY","Amount designated for recovery operations","2011","2011","TONNE","Tonnes","3","thousands",,,48.39,,
"ISL","Iceland","RECOVERY","Amount designated for recovery operations","2012","2012","TONNE","Tonnes","3","thousands",,,52.98,,
"ISL","Iceland","RECOVERY","Amount designated for recovery operations","2013","2013","TONNE","Tonnes","3","thousands",,,55.55,,
"ISL","Iceland","RECYCLING","Recycling","1995","1995","TONNE","Tonnes","3","thousands",,,7,,
"ISL","Iceland","RECYCLING","Recycling","1996","1996","TONNE","Tonnes","3","thousands",,,9,,
"ISL","Iceland","RECYCLING","Recycling","1997","1997","TONNE","Tonnes","3","thousands",,,8,,
"ISL","Iceland","RECYCLING","Recycling","1998","1998","TONNE","Tonnes","3","thousands",,,11,,
"ISL","Iceland","RECYCLING","Recycling","1999","1999","TONNE","Tonnes","3","thousands",,,14,,
"ISL","Iceland","RECYCLING","Recycling","2000","2000","TONNE","Tonnes","3","thousands",,,17,,
"ISL","Iceland","RECYCLING","Recycling","2001","2001","TONNE","Tonnes","3","thousands",,,18,,
"ISL","Iceland","RECYCLING","Recycling","2002","2002","TONNE","Tonnes","3","thousands",,,19,,
"ISL","Iceland","RECYCLING","Recycling","2003","2003","TONNE","Tonnes","3","thousands",,,20,,
"ISL","Iceland","RECYCLING","Recycling","2004","2004","TONNE","Tonnes","3","thousands",,,23,,
"ISL","Iceland","RECYCLING","Recycling","2008","2008","TONNE","Tonnes","3","thousands",,,26.05,,
"ISL","Iceland","RECYCLING","Recycling","2009","2009","TONNE","Tonnes","3","thousands",,,20.62,,
"ISL","Iceland","RECYCLING","Recycling","2010","2010","TONNE","Tonnes","3","thousands",,,23.85,,
"ISL","Iceland","RECYCLING","Recycling","2011","2011","TONNE","Tonnes","3","thousands",,,32.06,,
"ISL","Iceland","RECYCLING","Recycling","2012","2012","TONNE","Tonnes","3","thousands",,,39.16,,
"ISL","Iceland","RECYCLING","Recycling","2013","2013","TONNE","Tonnes","3","thousands",,,41.76,,
"ISL","Iceland","COMPOST","Composting","1995","1995","TONNE","Tonnes","3","thousands",,,2,,
"ISL","Iceland","COMPOST","Composting","1996","1996","TONNE","Tonnes","3","thousands",,,2,,
"ISL","Iceland","COMPOST","Composting","1997","1997","TONNE","Tonnes","3","thousands",,,2,,
"ISL","Iceland","COMPOST","Composting","1998","1998","TONNE","Tonnes","3","thousands",,,2,,
"ISL","Iceland","COMPOST","Composting","1999","1999","TONNE","Tonnes","3","thousands",,,2,,
"ISL","Iceland","COMPOST","Composting","2000","2000","TONNE","Tonnes","3","thousands",,,3,,
"ISL","Iceland","COMPOST","Composting","2001","2001","TONNE","Tonnes","3","thousands",,,3,,
"ISL","Iceland","COMPOST","Composting","2002","2002","TONNE","Tonnes","3","thousands",,,3,,
"ISL","Iceland","COMPOST","Composting","2003","2003","TONNE","Tonnes","3","thousands",,,3,,
"ISL","Iceland","COMPOST","Composting","2008","2008","TONNE","Tonnes","3","thousands",,,4.3,,
"ISL","Iceland","COMPOST","Composting","2009","2009","TONNE","Tonnes","3","thousands",,,6.36,,
"ISL","Iceland","COMPOST","Composting","2010","2010","TONNE","Tonnes","3","thousands",,,7.92,,
"ISL","Iceland","COMPOST","Composting","2011","2011","TONNE","Tonnes","3","thousands",,,8.01,,
"ISL","Iceland","COMPOST","Composting","2012","2012","TONNE","Tonnes","3","thousands",,,7.09,,
"ISL","Iceland","COMPOST","Composting","2013","2013","TONNE","Tonnes","3","thousands",,,8.4,,
"ISL","Iceland","INCINERATION_WITH","Incineration with energy recovery","1995","1995","TONNE","Tonnes","3","thousands",,,2,,
"ISL","Iceland","INCINERATION_WITH","Incineration with energy recovery","1996","1996","TONNE","Tonnes","3","thousands",,,2,,
"ISL","Iceland","INCINERATION_WITH","Incineration with energy recovery","1997","1997","TONNE","Tonnes","3","thousands",,,2,,
"ISL","Iceland","INCINERATION_WITH","Incineration with energy recovery","1998","1998","TONNE","Tonnes","3","thousands",,,4,,
"ISL","Iceland","INCINERATION_WITH","Incineration with energy recovery","1999","1999","TONNE","Tonnes","3","thousands",,,4,,
"ISL","Iceland","INCINERATION_WITH","Incineration with energy recovery","2000","2000","TONNE","Tonnes","3","thousands",,,6,,
"ISL","Iceland","INCINERATION_WITH","Incineration with energy recovery","2001","2001","TONNE","Tonnes","3","thousands",,,6,,
"ISL","Iceland","INCINERATION_WITH","Incineration with energy recovery","2002","2002","TONNE","Tonnes","3","thousands",,,7,,
"ISL","Iceland","INCINERATION_WITH","Incineration with energy recovery","2003","2003","TONNE","Tonnes","3","thousands",,,11,,
"ISL","Iceland","INCINERATION_WITH","Incineration with energy recovery","2004","2004","TONNE","Tonnes","3","thousands",,,13,,
"ISL","Iceland","INCINERATION_WITH","Incineration with energy recovery","2005","2005","TONNE","Tonnes","3","thousands",,,11,,
"ISL","Iceland","INCINERATION_WITH","Incineration with energy recovery","2006","2006","TONNE","Tonnes","3","thousands",,,11,,
"ISL","Iceland","INCINERATION_WITH","Incineration with energy recovery","2007","2007","TONNE","Tonnes","3","thousands",,,15,,
"ISL","Iceland","INCINERATION_WITH","Incineration with energy recovery","2008","2008","TONNE","Tonnes","3","thousands",,,12.78,,
"ISL","Iceland","INCINERATION_WITH","Incineration with energy recovery","2009","2009","TONNE","Tonnes","3","thousands",,,9.38,,
"ISL","Iceland","INCINERATION_WITH","Incineration with energy recovery","2010","2010","TONNE","Tonnes","3","thousands",,,9.77,,
"ISL","Iceland","INCINERATION_WITH","Incineration with energy recovery","2011","2011","TONNE","Tonnes","3","thousands",,,8.32,,
"ISL","Iceland","INCINERATION_WITH","Incineration with energy recovery","2012","2012","TONNE","Tonnes","3","thousands",,,6.73,,
"ISL","Iceland","INCINERATION_WITH","Incineration with energy recovery","2013","2013","TONNE","Tonnes","3","thousands",,,5.39,,
"ISL","Iceland","DISPOSAL","Disposal operations","1995","1995","TONNE","Tonnes","3","thousands",,,108.5,,
"ISL","Iceland","DISPOSAL","Disposal operations","1996","1996","TONNE","Tonnes","3","thousands",,,105.75,,
"ISL","Iceland","DISPOSAL","Disposal operations","1997","1997","TONNE","Tonnes","3","thousands",,,106,,
"ISL","Iceland","DISPOSAL","Disposal operations","1998","1998","TONNE","Tonnes","3","thousands",,,105.25,,
"ISL","Iceland","DISPOSAL","Disposal operations","1999","1999","TONNE","Tonnes","3","thousands",,,106.5,,
"ISL","Iceland","DISPOSAL","Disposal operations","2000","2000","TONNE","Tonnes","3","thousands",,,108.5,,
"ISL","Iceland","DISPOSAL","Disposal operations","2001","2001","TONNE","Tonnes","3","thousands",,,104.75,,
"ISL","Iceland","DISPOSAL","Disposal operations","2002","2002","TONNE","Tonnes","3","thousands",,,105.75,,
"ISL","Iceland","DISPOSAL","Disposal operations","2003","2003","TONNE","Tonnes","3","thousands",,,105,,
"ISL","Iceland","DISPOSAL","Disposal operations","2004","2004","TONNE","Tonnes","3","thousands",,,106,,
"ISL","Iceland","DISPOSAL","Disposal operations","2005","2005","TONNE","Tonnes","3","thousands",,,108,,
"ISL","Iceland","DISPOSAL","Disposal operations","2006","2006","TONNE","Tonnes","3","thousands",,,117,,
"ISL","Iceland","DISPOSAL","Disposal operations","2007","2007","TONNE","Tonnes","3","thousands",,,117,,
"ISL","Iceland","DISPOSAL","Disposal operations","2008","2008","TONNE","Tonnes","3","thousands",,,106.11,,
"ISL","Iceland","DISPOSAL","Disposal operations","2009","2009","TONNE","Tonnes","3","thousands",,,76.74,,
"ISL","Iceland","DISPOSAL","Disposal operations","2010","2010","TONNE","Tonnes","3","thousands",,,55.75,,
"ISL","Iceland","DISPOSAL","Disposal operations","2011","2011","TONNE","Tonnes","3","thousands",,,53.6,,
"ISL","Iceland","DISPOSAL","Disposal operations","2012","2012","TONNE","Tonnes","3","thousands",,,55.34,,
"ISL","Iceland","DISPOSAL","Disposal operations","2013","2013","TONNE","Tonnes","3","thousands",,,56.14,,
"ISL","Iceland","INCINERATION_WITHOUT","Incineration without energy recovery","1995","1995","TONNE","Tonnes","3","thousands",,,13,,
"ISL","Iceland","INCINERATION_WITHOUT","Incineration without energy recovery","1996","1996","TONNE","Tonnes","3","thousands",,,13,,
"ISL","Iceland","INCINERATION_WITHOUT","Incineration without energy recovery","1997","1997","TONNE","Tonnes","3","thousands",,,13,,
"ISL","Iceland","INCINERATION_WITHOUT","Incineration without energy recovery","1998","1998","TONNE","Tonnes","3","thousands",,,11,,
"ISL","Iceland","INCINERATION_WITHOUT","Incineration without energy recovery","1999","1999","TONNE","Tonnes","3","thousands",,,11,,
"ISL","Iceland","INCINERATION_WITHOUT","Incineration without energy recovery","2000","2000","TONNE","Tonnes","3","thousands",,,11,,
"ISL","Iceland","INCINERATION_WITHOUT","Incineration without energy recovery","2001","2001","TONNE","Tonnes","3","thousands",,,5,,
"ISL","Iceland","INCINERATION_WITHOUT","Incineration without energy recovery","2002","2002","TONNE","Tonnes","3","thousands",,,3,,
"ISL","Iceland","INCINERATION_WITHOUT","Incineration without energy recovery","2003","2003","TONNE","Tonnes","3","thousands",,,2,,
"ISL","Iceland","INCINERATION_WITHOUT","Incineration without energy recovery","2004","2004","TONNE","Tonnes","3","thousands",,,2,,
"ISL","Iceland","INCINERATION_WITHOUT","Incineration without energy recovery","2005","2005","TONNE","Tonnes","3","thousands",,,2,,
"ISL","Iceland","INCINERATION_WITHOUT","Incineration without energy recovery","2006","2006","TONNE","Tonnes","3","thousands",,,2,,
"ISL","Iceland","INCINERATION_WITHOUT","Incineration without energy recovery","2007","2007","TONNE","Tonnes","3","thousands",,,2,,
"ISL","Iceland","INCINERATION_WITHOUT","Incineration without energy recovery","2008","2008","TONNE","Tonnes","3","thousands",,,1.97,,
"ISL","Iceland","INCINERATION_WITHOUT","Incineration without energy recovery","2009","2009","TONNE","Tonnes","3","thousands",,,1.87,,
"ISL","Iceland","INCINERATION_WITHOUT","Incineration without energy recovery","2010","2010","TONNE","Tonnes","3","thousands",,,1.77,,
"ISL","Iceland","INCINERATION_WITHOUT","Incineration without energy recovery","2011","2011","TONNE","Tonnes","3","thousands",,,1.7,,
"ISL","Iceland","INCINERATION_WITHOUT","Incineration without energy recovery","2012","2012","TONNE","Tonnes","3","thousands",,,1.7,,
"ISL","Iceland","INCINERATION_WITHOUT","Incineration without energy recovery","2013","2013","TONNE","Tonnes","3","thousands",,,1.19,,
"ISL","Iceland","LANDFILL","Landfill","1995","1995","TONNE","Tonnes","3","thousands",,,86,,
"ISL","Iceland","LANDFILL","Landfill","1996","1996","TONNE","Tonnes","3","thousands",,,88,,
"ISL","Iceland","LANDFILL","Landfill","1997","1997","TONNE","Tonnes","3","thousands",,,90,,
"ISL","Iceland","LANDFILL","Landfill","1998","1998","TONNE","Tonnes","3","thousands",,,92,,
"ISL","Iceland","LANDFILL","Landfill","1999","1999","TONNE","Tonnes","3","thousands",,,95,,
"ISL","Iceland","LANDFILL","Landfill","2000","2000","TONNE","Tonnes","3","thousands",,,98,,
"ISL","Iceland","LANDFILL","Landfill","2001","2001","TONNE","Tonnes","3","thousands",,,100,,
"ISL","Iceland","LANDFILL","Landfill","2002","2002","TONNE","Tonnes","3","thousands",,,103,,
"ISL","Iceland","LANDFILL","Landfill","2003","2003","TONNE","Tonnes","3","thousands",,,105,,
"ISL","Iceland","LANDFILL","Landfill","2004","2004","TONNE","Tonnes","3","thousands",,,106,,
"ISL","Iceland","LANDFILL","Landfill","2005","2005","TONNE","Tonnes","3","thousands",,,108,,
"ISL","Iceland","LANDFILL","Landfill","2006","2006","TONNE","Tonnes","3","thousands",,,117,,
"ISL","Iceland","LANDFILL","Landfill","2007","2007","TONNE","Tonnes","3","thousands",,,117,,
"ISL","Iceland","LANDFILL","Landfill","2008","2008","TONNE","Tonnes","3","thousands",,,104.14,,
"ISL","Iceland","LANDFILL","Landfill","2009","2009","TONNE","Tonnes","3","thousands",,,74.87,,
"ISL","Iceland","LANDFILL","Landfill","2010","2010","TONNE","Tonnes","3","thousands",,,53.98,,
"ISL","Iceland","LANDFILL","Landfill","2011","2011","TONNE","Tonnes","3","thousands",,,51.9,,
"ISL","Iceland","LANDFILL","Landfill","2012","2012","TONNE","Tonnes","3","thousands",,,53.64,,
"ISL","Iceland","LANDFILL","Landfill","2013","2013","TONNE","Tonnes","3","thousands",,,54.95,,
"ISL","Iceland","OTH_DISP","Other disposal","1995","1995","TONNE","Tonnes","3","thousands",,,10,,
"ISL","Iceland","OTH_DISP","Other disposal","1996","1996","TONNE","Tonnes","3","thousands",,,5,,
"ISL","Iceland","OTH_DISP","Other disposal","1997","1997","TONNE","Tonnes","3","thousands",,,3,,
"ISL","Iceland","OTH_DISP","Other disposal","1998","1998","TONNE","Tonnes","3","thousands",,,2,,
"ISL","Iceland","OTH_DISP","Other disposal","1999","1999","TONNE","Tonnes","3","thousands",,,1,,
"ISL","Iceland","OTH_DISP","Other disposal","2000","2000","TONNE","Tonnes","3","thousands",,,0,,
"ISL","Iceland","OTH_DISP","Other disposal","2001","2001","TONNE","Tonnes","3","thousands",,,0,,
"ISL","Iceland","OTH_DISP","Other disposal","2002","2002","TONNE","Tonnes","3","thousands",,,0,,
"ISL","Iceland","OTH_DISP","Other disposal","2003","2003","TONNE","Tonnes","3","thousands",,,0,,
"ISL","Iceland","OTH_DISP","Other disposal","2004","2004","TONNE","Tonnes","3","thousands",,,0,,
"ISL","Iceland","INCINERATION","Total Incineration","1995","1995","TONNE","Tonnes","3","thousands",,,22,,
"ISL","Iceland","INCINERATION","Total Incineration","1996","1996","TONNE","Tonnes","3","thousands",,,22,,
"ISL","Iceland","INCINERATION","Total Incineration","1997","1997","TONNE","Tonnes","3","thousands",,,22,,
"ISL","Iceland","INCINERATION","Total Incineration","1998","1998","TONNE","Tonnes","3","thousands",,,19,,
"ISL","Iceland","INCINERATION","Total Incineration","1999","1999","TONNE","Tonnes","3","thousands",,,17,,
"ISL","Iceland","INCINERATION","Total Incineration","2000","2000","TONNE","Tonnes","3","thousands",,,17,,
"ISL","Iceland","INCINERATION","Total Incineration","2001","2001","TONNE","Tonnes","3","thousands",,,15,,
"ISL","Iceland","INCINERATION","Total Incineration","2002","2002","TONNE","Tonnes","3","thousands",,,14,,
"ISL","Iceland","INCINERATION","Total Incineration","2003","2003","TONNE","Tonnes","3","thousands",,,13,,
"ISL","Iceland","INCINERATION","Total Incineration","2004","2004","TONNE","Tonnes","3","thousands",,,15,,
"ISL","Iceland","INCINERATION","Total Incineration","2005","2005","TONNE","Tonnes","3","thousands",,,13,,
"ISL","Iceland","INCINERATION","Total Incineration","2006","2006","TONNE","Tonnes","3","thousands",,,13,,
"ISL","Iceland","INCINERATION","Total Incineration","2007","2007","TONNE","Tonnes","3","thousands",,,17,,
"ISL","Iceland","INCINERATION","Total Incineration","2008","2008","TONNE","Tonnes","3","thousands",,,14.75,,
"ISL","Iceland","INCINERATION","Total Incineration","2009","2009","TONNE","Tonnes","3","thousands",,,11.25,,
"ISL","Iceland","INCINERATION","Total Incineration","2010","2010","TONNE","Tonnes","3","thousands",,,11.54,,
"ISL","Iceland","INCINERATION","Total Incineration","2011","2011","TONNE","Tonnes","3","thousands",,,10.02,,
"ISL","Iceland","INCINERATION","Total Incineration","2012","2012","TONNE","Tonnes","3","thousands",,,8.43,,
"ISL","Iceland","INCINERATION","Total Incineration","2013","2013","TONNE","Tonnes","3","thousands",,,6.58,,
"ISL","Iceland","MAT_RECOV_SHARE","% Material recovery (Recycling + Composting)","1995","1995","PC","Percentage","0","units",,,7.531,,
"ISL","Iceland","MAT_RECOV_SHARE","% Material recovery (Recycling + Composting)","1996","1996","PC","Percentage","0","units",,,9.263,,
"ISL","Iceland","MAT_RECOV_SHARE","% Material recovery (Recycling + Composting)","1997","1997","PC","Percentage","0","units",,,8.475,,
"ISL","Iceland","MAT_RECOV_SHARE","% Material recovery (Recycling + Composting)","1998","1998","PC","Percentage","0","units",,,10.634,,
"ISL","Iceland","MAT_RECOV_SHARE","% Material recovery (Recycling + Composting)","1999","1999","PC","Percentage","0","units",,,12.648,,
"ISL","Iceland","MAT_RECOV_SHARE","% Material recovery (Recycling + Composting)","2000","2000","PC","Percentage","0","units",,,14.87,,
"ISL","Iceland","MAT_RECOV_SHARE","% Material recovery (Recycling + Composting)","2001","2001","PC","Percentage","0","units",,,15.939,,
"ISL","Iceland","MAT_RECOV_SHARE","% Material recovery (Recycling + Composting)","2002","2002","PC","Percentage","0","units",,,16.327,,
"ISL","Iceland","MAT_RECOV_SHARE","% Material recovery (Recycling + Composting)","2003","2003","PC","Percentage","0","units",,,16.547,,
"ISL","Iceland","MAT_RECOV_SHARE","% Material recovery (Recycling + Composting)","2008","2008","PC","Percentage","0","units",,,20.336,,
"ISL","Iceland","MAT_RECOV_SHARE","% Material recovery (Recycling + Composting)","2009","2009","PC","Percentage","0","units",,,23.855,,
"ISL","Iceland","MAT_RECOV_SHARE","% Material recovery (Recycling + Composting)","2010","2010","PC","Percentage","0","units",,,32.655,,
"ISL","Iceland","MAT_RECOV_SHARE","% Material recovery (Recycling + Composting)","2011","2011","PC","Percentage","0","units",,,39.288,,
"ISL","Iceland","MAT_RECOV_SHARE","% Material recovery (Recycling + Composting)","2012","2012","PC","Percentage","0","units",,,42.698,,
"ISL","Iceland","MAT_RECOV_SHARE","% Material recovery (Recycling + Composting)","2013","2013","PC","Percentage","0","units",,,44.91,,
"ISL","Iceland","RECYCLING_SHARE","% Recycling","1995","1995","PC","Percentage","0","units",,,5.858,,
"ISL","Iceland","RECYCLING_SHARE","% Recycling","1996","1996","PC","Percentage","0","units",,,7.579,,
"ISL","Iceland","RECYCLING_SHARE","% Recycling","1997","1997","PC","Percentage","0","units",,,6.78,,
"ISL","Iceland","RECYCLING_SHARE","% Recycling","1998","1998","PC","Percentage","0","units",,,8.998,,
"ISL","Iceland","RECYCLING_SHARE","% Recycling","1999","1999","PC","Percentage","0","units",,,11.067,,
"ISL","Iceland","RECYCLING_SHARE","% Recycling","2000","2000","PC","Percentage","0","units",,,12.639,,
"ISL","Iceland","RECYCLING_SHARE","% Recycling","2001","2001","PC","Percentage","0","units",,,13.662,,
"ISL","Iceland","RECYCLING_SHARE","% Recycling","2002","2002","PC","Percentage","0","units",,,14.1,,
"ISL","Iceland","RECYCLING_SHARE","% Recycling","2003","2003","PC","Percentage","0","units",,,14.388,,
"ISL","Iceland","RECYCLING_SHARE","% Recycling","2008","2008","PC","Percentage","0","units",,,17.455,,
"ISL","Iceland","RECYCLING_SHARE","% Recycling","2009","2009","PC","Percentage","0","units",,,18.232,,
"ISL","Iceland","RECYCLING_SHARE","% Recycling","2010","2010","PC","Percentage","0","units",,,24.514,,
"ISL","Iceland","RECYCLING_SHARE","% Recycling","2011","2011","PC","Percentage","0","units",,,31.434,,
"ISL","Iceland","RECYCLING_SHARE","% Recycling","2012","2012","PC","Percentage","0","units",,,36.152,,
"ISL","Iceland","RECYCLING_SHARE","% Recycling","2013","2013","PC","Percentage","0","units",,,37.389,,
"ISL","Iceland","COMPST_SHARE","% Composting","1995","1995","PC","Percentage","0","units",,,1.674,,
"ISL","Iceland","COMPST_SHARE","% Composting","1996","1996","PC","Percentage","0","units",,,1.684,,
"ISL","Iceland","COMPST_SHARE","% Composting","1997","1997","PC","Percentage","0","units",,,1.695,,
"ISL","Iceland","COMPST_SHARE","% Composting","1998","1998","PC","Percentage","0","units",,,1.636,,
"ISL","Iceland","COMPST_SHARE","% Composting","1999","1999","PC","Percentage","0","units",,,1.581,,
"ISL","Iceland","COMPST_SHARE","% Composting","2000","2000","PC","Percentage","0","units",,,2.23,,
"ISL","Iceland","COMPST_SHARE","% Composting","2001","2001","PC","Percentage","0","units",,,2.277,,
"ISL","Iceland","COMPST_SHARE","% Composting","2002","2002","PC","Percentage","0","units",,,2.226,,
"ISL","Iceland","COMPST_SHARE","% Composting","2003","2003","PC","Percentage","0","units",,,2.158,,
"ISL","Iceland","COMPST_SHARE","% Composting","2008","2008","PC","Percentage","0","units",,,2.881,,
"ISL","Iceland","COMPST_SHARE","% Composting","2009","2009","PC","Percentage","0","units",,,5.623,,
"ISL","Iceland","COMPST_SHARE","% Composting","2010","2010","PC","Percentage","0","units",,,8.141,,
"ISL","Iceland","COMPST_SHARE","% Composting","2011","2011","PC","Percentage","0","units",,,7.854,,
"ISL","Iceland","COMPST_SHARE","% Composting","2012","2012","PC","Percentage","0","units",,,6.545,,
"ISL","Iceland","COMPST_SHARE","% Composting","2013","2013","PC","Percentage","0","units",,,7.521,,
"ISL","Iceland","INC_WITH_SHARE","% Incineration with energy recovery","1995","1995","PC","Percentage","0","units",,,1.674,,
"ISL","Iceland","INC_WITH_SHARE","% Incineration with energy recovery","1996","1996","PC","Percentage","0","units",,,1.684,,
"ISL","Iceland","INC_WITH_SHARE","% Incineration with energy recovery","1997","1997","PC","Percentage","0","units",,,1.695,,
"ISL","Iceland","INC_WITH_SHARE","% Incineration with energy recovery","1998","1998","PC","Percentage","0","units",,,3.272,,
"ISL","Iceland","INC_WITH_SHARE","% Incineration with energy recovery","1999","1999","PC","Percentage","0","units",,,3.162,,
