COU,Country,ISIC,Variable,YEA,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
AUS,Australia,10-33,Manufacturing industries: Total,2009,2009,TONNE,Tonnes,3,thousands,,,13116,,
AUS,Australia,10-33,Manufacturing industries: Total,2011,2011,TONNE,Tonnes,3,thousands,,,3858.2,,
AUS,Australia,10-12,Manufacture of food products beverages and tobacco products,2011,2011,TONNE,Tonnes,3,thousands,,,920,,
AUS,Australia,13-15,Manufacture of textiles, wearing apparel, leather and related products,2011,2011,TONNE,Tonnes,3,thousands,,,171.9,,
AUS,Australia,16,Manufacture of wood and of products of wood and cork, except furniture manufacture of articles of straw and plaiting materials,2011,2011,TONNE,Tonnes,3,thousands,,,164.3,,
AUS,Australia,17-18,Manufacture of paper and paper products printing and reproduction of recorded media,2011,2011,TONNE,Tonnes,3,thousands,,,309.9,,
AUS,Australia,19,Manufacture of coke and refined petroleum products,2011,2011,TONNE,Tonnes,3,thousands,,,43.1,,
AUS,Australia,20-22,Manufacture of chemical, pharmaceutical, rubber and plastic products,2011,2011,TONNE,Tonnes,3,thousands,,,349.3,,
AUS,Australia,23,Manufacture of other non-metallic mineral products,2011,2011,TONNE,Tonnes,3,thousands,,,158,,
AUS,Australia,24-33,Manufacture of basic metals and fabricated metal products, machinery and equipment furnitures jewellery, musical instrument, toys repair and installation of machinery and equipment,2011,2011,TONNE,Tonnes,3,thousands,,,1741.6,,
AUS,Australia,24,Manufacture of basic metals,2011,2011,TONNE,Tonnes,3,thousands,,,439.7,,
AUS,Australia,25-28,Manufacture of fabricated metal products, of computer, electronic and optical products, of electrical equipment, of machinery and equipment,2011,2011,TONNE,Tonnes,3,thousands,,,236.2,,
AUS,Australia,29-33,Manufacture of motor vehicles, other transport equipment, furniture, other manufacturing, repair and installation of machinery and equipment,2011,2011,TONNE,Tonnes,3,thousands,,,1065.7,,
AUS,Australia,35,Energy Production ,2011,2011,TONNE,Tonnes,3,thousands,,,14026.5,I,Incomplete data
AUS,Australia,41-43,Construction,2009,2009,TONNE,Tonnes,3,thousands,,,19693,,
AUS,Australia,INT_CONS,Waste from construction sector per capita,2009,2009,KG_HAB,Kilograms per capita,0,units,,,907.93,,
AUT,Austria,TOTAL_S,Total amounts of waste generated by sector,2008,2008,TONNE,Tonnes,3,thousands,,,56308.766,,
AUT,Austria,TOTAL_S,Total amounts of waste generated by sector,2010,2010,TONNE,Tonnes,3,thousands,,,34882.606,B,Break
AUT,Austria,TOTAL_S,Total amounts of waste generated by sector,2012,2012,TONNE,Tonnes,3,thousands,,,34047.465,,
AUT,Austria,RES,Sorting residues, secondary waste,2008,2008,TONNE,Tonnes,3,thousands,,,534.175,,
AUT,Austria,RES,Sorting residues, secondary waste,2010,2010,TONNE,Tonnes,3,thousands,,,1394.954,B,Break
AUT,Austria,RES,Sorting residues, secondary waste,2012,2012,TONNE,Tonnes,3,thousands,,,1610.578,,
