TIME,GEO,INDUSTRY,EMISSION
2004,Denmark,Human health and social work activities,223411
2004,Denmark,Arts_ entertainment and recreation,77123
2004,Denmark,Other service activities,116572
2004,Denmark,Activities of households as employers_ undifferentiated goods- and services-producing activities of households for own use,0
2004,Denmark,Activities of extraterritorial organisations and bodies,0
2004,Germany (until 1990 former territory of the FRG),Total - All NACE activities,-1
2004,Germany (until 1990 former territory of the FRG),Agriculture_ forestry and fishing,-1
2004,Germany (until 1990 former territory of the FRG),Mining and quarrying,-1
2004,Germany (until 1990 former territory of the FRG),Manufacturing,-1
2004,Germany (until 1990 former territory of the FRG),Electricity_ gas_ steam and air conditioning supply,-1
2004,Germany (until 1990 former territory of the FRG),Water supply_ sewerage_ waste management and remediation activities,-1
2004,Germany (until 1990 former territory of the FRG),Wholesale and retail trade_ repair of motor vehicles and motorcycles,-1
2004,Germany (until 1990 former territory of the FRG),Transportation and storage,-1
2004,Germany (until 1990 former territory of the FRG),Accommodation and food service activities,-1
2004,Germany (until 1990 former territory of the FRG),Information and communication,-1
2004,Germany (until 1990 former territory of the FRG),Financial and insurance activities,-1
2004,Germany (until 1990 former territory of the FRG),Real estate activities,-1
2004,Germany (until 1990 former territory of the FRG),Professional_ scientific and technical activities,-1
2004,Germany (until 1990 former territory of the FRG),Administrative and support service activities,-1
2004,Germany (until 1990 former territory of the FRG),Public administration and defence_ compulsory social security,-1
2004,Germany (until 1990 former territory of the FRG),Education,-1
2004,Germany (until 1990 former territory of the FRG),Human health and social work activities,-1
2004,Germany (until 1990 former territory of the FRG),Arts_ entertainment and recreation,-1
2004,Germany (until 1990 former territory of the FRG),Other service activities,-1
2004,Germany (until 1990 former territory of the FRG),Activities of households as employers_ undifferentiated goods- and services-producing activities of households for own use,-1
2004,Germany (until 1990 former territory of the FRG),Activities of extraterritorial organisations and bodies,-1
2004,Estonia,Total - All NACE activities,-1
2004,Estonia,Agriculture_ forestry and fishing,-1
2004,Estonia,Mining and quarrying,-1
2004,Estonia,Manufacturing,-1
2004,Estonia,Electricity_ gas_ steam and air conditioning supply,-1
2004,Estonia,Water supply_ sewerage_ waste management and remediation activities,-1
2004,Estonia,Wholesale and retail trade_ repair of motor vehicles and motorcycles,-1
